,user_id,event_id,event_name,clicks_count
275334,6fbffe9e79abbefea4a5fd09c3fff3ea,1331520,Полнокупольная программа «Владения света»,1
275335,6fbffe9e79abbefea4a5fd09c3fff3ea,1331608,Полнокупольная программа «Самскара»,1
275491,6fd15033b9eee12d7150d2f929cd6485,1407014,Концерт «Teppopy. net»,5
275492,6fd15033b9eee12d7150d2f929cd6485,1428546,Концерт «Наше время»,2
275497,6fd199671f3fcbc2087c22a99b85556c,1257604,"Спектакль «Всем, кого касается»",2
276057,70124c310e8b46618a1e83d9880239b3,1458526,Экскурсия по экспозиции музея БиТС «Из истории родного края…»,1
276078,70167b0954a7e348c23f5cb605f7715e,1329507,Обзорная экскурсия,1
276117,701b9046248dc05bcb5e4de3350bc564,1124781,Полнокупольная программа «Розетта»,1
276118,701b9046248dc05bcb5e4de3350bc564,1268971,Программа «В глубины Вселенной»,3
276119,701b9046248dc05bcb5e4de3350bc564,1294454,Спектакль «Преступление и наказание»,6
276120,701b9046248dc05bcb5e4de3350bc564,1294658,Спектакль «Клара Милич»,1
276121,701b9046248dc05bcb5e4de3350bc564,1299251,Полнокупольная программа «Путешествие по Солнечной системе»,2
276122,701b9046248dc05bcb5e4de3350bc564,1307844,Полнокупольная программа «Невидимая мощь Вселенной»,5
276123,701b9046248dc05bcb5e4de3350bc564,1321058,Полнокупольная программа «Путешествие к миллиарду солнц»,1
276124,701b9046248dc05bcb5e4de3350bc564,1333955,Полнокупольная программа «Неукротимая планета»,15
276125,701b9046248dc05bcb5e4de3350bc564,1358614,Спектакль «Танцуй сердцем»,1
276126,701b9046248dc05bcb5e4de3350bc564,1394554,Опера «Дон Кихот»,1
276127,701b9046248dc05bcb5e4de3350bc564,1417541,Спектакль «Гала Юрий Григорович»,2
276321,702f721bd6b0cf8bffc39d8b7fe698c0,1255556,Спектакль «Палата бизнес-класса»,3
276322,702f721bd6b0cf8bffc39d8b7fe698c0,1360371,Спектакль «Любовь людей»,1
276348,7032c7f783d6e23421e766cfe54801c9,1231203,Спектакль «Ганди молчал по субботам»,1
276349,7032c7f783d6e23421e766cfe54801c9,1257888,Спектакль «Очень простая история»,8
276354,70332a194c05f94228715e01867f6b23,1299721,Спектакль «Не ежик»,1
276355,70332a194c05f94228715e01867f6b23,1388454,Спектакль «Шахтер»,5
276356,703343f350a9650371f5a58bddf3093c,749975,"Спектакль «Всем, кого касается»",2
276405,70388c14da1f585ceb35ddc4b5099220,570735,Спектакль «Голубая камея»,2
276406,70388c14da1f585ceb35ddc4b5099220,571857,Спектакль «Дом для сумасшедших»,1
276584,704c2a3695a892d8fef1ce39c94595fc,1329507,Обзорная экскурсия,2
276585,704c2a3695a892d8fef1ce39c94595fc,1385063,QR-квест «Тайные коды музея»,4
276586,704c2a3695a892d8fef1ce39c94595fc,1455689,Музейный урок «Заслужил навеки славу Шаймуратов-генерал»,1
276624,70525661a743da3dd56b5b3c2cdf33f1,51522,Спектакль «Три поросенка»,3
276768,705e9c2882c7152ea54dc4eaacc76a70,362561,Спектакль «Смерть Тарелкина»,1
276769,705e9c2882c7152ea54dc4eaacc76a70,362586,Спектакль «Комната сына»,1
276770,705e9c2882c7152ea54dc4eaacc76a70,377185,Спектакль «О чем молчат камни. Свет погасшей звезды»,1
276771,705e9c2882c7152ea54dc4eaacc76a70,855200,Спектакль «Щелкунчик»,2
