ID;Учреждение;Адрес;ИНН;Категория;Код
4758;ГБУК г. Москвы «Московский музей современного искусства»;г Москва, ул Петровка, д 25;7707278050.0;Музеи и галереи;77
4759;МУК «Районный исторический музей»;Краснодарский край, Кущевский р-н, ст-ца Кущевская, Первомайский пер, 92;2340014653.0;Музеи и галереи;23
4760;ГБУК «Калининградский областной музей изобразительных искусств»;Калининградская обл, г Калининград, Ленинский пр-кт, д 83;3906020033.0;Музеи и галереи;39
4761;МУК «Увинский историко-художественный музей»;Удмуртская Респ, Увинский р-н, п Ува, ул Энгельса, д 12;1821007495.0;Музеи и галереи;18
4763;ГБУК КК «Краснодарский государственный историко-археологический музей-заповедник им. Е. Д. Фелицына»;Краснодарский край, г Краснодар, ул Гимназическая, д 67;2310052884.0;Музеи и галереи;23
4765;МБУ «Музей Абинского района»;Краснодарский край, Абинский р-н, г Абинск, ул Интернациональная, д 39;2323024789.0;Музеи и галереи;23
4777;МБУК «Новопокровский историко-литературный музей им. А.А. Первенцева»;Краснодарский край, Новопокровский р-н, ст-ца Новопокровская, ул Ленина, д 119;2360000926.0;Музеи и галереи;23
4782;Федеральное государственное бюджетное учреждение культуры и искусства «Центральный музей Вооруженных Сил Российской Федерации» Министерства обороны Российской Федерации;г Москва, ул Советской Армии, д 2;7702071990.0;Музеи и галереи;77
4786;ГБУК г. Москвы «Государственный музей – культурный центр «Интеграция» имени Н. А. Островского»;г Москва, ул Тверская, д 14;7710005800.0;Музеи и галереи;77
4787;ГБУК г. Москвы «Библиотека-читальня им. И. С. Тургенева»;г Москва, Бобров пер, д 6;7708018953.0;Библиотеки;77
4788;Музей космонавтики;г Москва, пр-кт Мира, д 111;7717038138.0;Музеи и галереи;77
4789;ГАУК г. Москвы «Культурный центр ЗИЛ»;г Москва, ул Восточная, д 4;7725648137.0;Дворцы культуры и клубы;77
4791;Государственное бюджетное учреждение культуры г. Москвы Центральная универсальная научная библиотека им. Н.А. Некрасова;г Москва, ул Бауманская, д 58/25;7703182460.0;Библиотеки;77
4794;ГБУК Архангельской области «Северный морской музей»;Архангельская обл, г Архангельск, наб Северной Двины, д 80;2901000970.0;Музеи и галереи;29
4796;ГБУК города Москвы «Музейно-выставочный центр «Тушино»;г Москва, б-р Яна Райниса, д 19;7733181223.0;Музеи и галереи;77
4797;Выставочные залы Москвы;г Москва, 1-й Колобовский пер, д 16;7715042114.0;Музеи и галереи;77
4800;Уфимская детская филармония;Респ Башкортостан, г Уфа, пр-кт Октября, д 33;278203525.0;Дворцы культуры и клубы;2
4802;ГБУК г. Москвы «Музей русского лубка и наивного искусства»;г Москва, Союзный пр-кт, д 15А;7720003368.0;Музеи и галереи;77
4803;ГАУК НСО «Новосибирский музыкальный театр»;Новосибирская обл, г Новосибирск, ул Каменская, д 43;5406015409.0;Театры;54
4806;ГАУК Свердловской области «Центр традиционной народной культуры Среднего Урала»;Свердловская обл, г Екатеринбург, ул Чапаева, д 10;6671354270.0;Музеи и галереи;66
4808;ГАУК СО «Свердловская государственная академическая филармония»;Свердловская обл, г Екатеринбург, ул Карла Либкнехта, д 38А;6660000720.0;Концертные площадки;66
4810;ГАУК НСО «Новосибирская филармония»;Новосибирская обл, г Новосибирск, Красный пр-кт, д 18/1;5406018199.0;Концертные площадки;54
4811;ГАУК ЯО «Культурно-просветительский центр имени В. В. Терешковой»;Ярославская обл, г Ярославль, ул Чайковского, д 3;7604186985.0;Музеи и галереи;76
4812;ГАУК ЯО «Ярославский художественный музей»;Ярославская обл, г Ярославль, Волжская наб, д 23;7604004843.0;Музеи и галереи;76
4815;ГБУК ЛО «Музейное агентство»;г Санкт-Петербург, ул Смольного, д 3;7825414608.0;Музеи и галереи;78
4819;МБУК «Музей истории Каракулинского района»;Удмуртская Респ, Каракулинский р-н, с Каракулино, ул Кирова, д 16;1811004167.0;Музеи и галереи;18
4821;МУК «Красноселькупский районный краеведческий музей»;Ямало-Ненецкий АО, Красноселькупский р-н, с Красноселькуп, ул Нагорная, д 46;8912002708.0;Музеи и галереи;89
4846;МБУ «Центр Культуры и Искусства «Октябрь»;Волгоградская обл, г Волжский, ул Сталинградская, д 6;3435001622.0;Дворцы культуры и клубы;34
4862;МБУ «Дворец культуры «Волгоградгидрострой»;Волгоградская обл, г Волжский, Комсомольская пл, д 1;3435001703.0;Дворцы культуры и клубы;34
4863;ОГБУК «Областной дом народного творчества»;Костромская обл, г Кострома, ул Советская, д 23;4401001954.0;Дворцы культуры и клубы;44
4876;ОГБУК «Центр народной культуры Ульяновской области»;Ульяновская обл, г Ульяновск, ул Карла Маркса, д 2/13;7325085930.0;Дворцы культуры и клубы;73
4906;ГАУ РК «Центр народного творчества и культурных инициатив Республики Карелия»;Респ Карелия, г Петрозаводск, пл Ленина, д 2;1001040657.0;Музеи и галереи;10
4931;ФГБУК «Санкт-Петербургская академическая филармония имени Д. Д. Шостаковича»;г Санкт-Петербург, ул Михайловская, д 2;7830002409.0;Концертные площадки;78
4932;ФГБУК «Северо-Кавказская государственная филармония им. В. И. Сафонова»;Ставропольский край, г Кисловодск, пр-кт Карла Маркса, д 3А;2628015010.0;Концертные площадки;26
4934;ФГБУК «Российский государственный академический Большой драматический театр имени Г. А. Товстоногова»;г Санкт-Петербург, наб Реки Фонтанки, д 65;7808004288.0;Театры;78
4935;ФГБУК «Государственный академический центральный театр кукол имени С. В. Образцова»;г Москва, ул Садовая-Самотёчная, д 3;7707057090.0;Театры;77
4937;ФГБУК «Российский государственный театр «Сатирикон» имени Аркадия Райкина»;г Москва, ул Шереметьевская, д 8;7717023068.0;Театры;77
4938;ФГБУК «Российский государственный академический молодежный театр»;г Москва, Театральная пл, д 2;7707035829.0;Театры;77
4941;ФГБУК «Государственный академический Малый театр России»;г Москва, Театральный проезд, д 1/1;7707082160.0;Театры;77
4949;ФГБУК «Московский государственный академический детский музыкальный театр имени Н. И. Сац»;г Москва, пр-кт Вернадского, д 5;7736004864.0;Театры;77
4983;ГБУК «Национальная библиотека имени Ахмет-Заки Валиди Республики Башкортостан»;Респ Башкортостан, г Уфа, ул Ленина, д 4;274005843.0;Библиотеки;2
5021;ГАУК ВО «Областной дворец культуры и искусства»;Владимирская обл, г Владимир, ул Диктора Левитана, д 4;3327100143.0;Дворцы культуры и клубы;33
5025;МАУК «Централизованная библиотечная система г. Березники»;Пермский край, г Березники, ул Ломоносова, д 115;5911037572.0;Библиотеки;59
5030;МБУ «Шурышкарская централизованная клубная система»;Ямало-Ненецкий АО, Шурышкарский р-н, с Мужи, ул Комсомольская, д 3;8907002540.0;Дворцы культуры и клубы;89
5038;МБУК «ЦКС Пуровского района»;Ямало-Ненецкий АО, Пуровский р-н, г Тарко-Сале, ул Республики, д 48;8911012608.0;Дворцы культуры и клубы;89
5041;МБУК «Приуральская централизованная клубная система»;Ямало-Ненецкий АО, Приуральский р-н, с Аксарка;8908002582.0;Дворцы культуры и клубы;89
5042;МАУК «Досуговый центр»;Ямало-Ненецкий ао, г Надым, п Лесной, д 19;8903003624.0;Дворцы культуры и клубы;89
5043;МБУК «Надымская районная клубная система»;Ямало-Ненецкий ао, г Надым, ул Строителей, двлд 5;8903032946.0;Дворцы культуры и клубы;89
5044;МБКУ ГДК «Украина»;Ямало-Ненецкий АО, г Муравленко, ул Ленина, д 61;8906006479.0;Дворцы культуры и клубы;89
5045;МАУК «Централизованная клубная система»;Ямало-Ненецкий АО, г Лабытнанги, пл В.Нака, д 2;8901029225.0;Дворцы культуры и клубы;89
5047;МАУК Центр культуры и досуга «Магистраль»;Ямало-Ненецкий АО, г Новый Уренгой, жилрайон Коротчаево, ул Октябрьская, д 22;8904041735.0;Дворцы культуры и клубы;89
5049;МБУК Централизованная клубная система;Ямало-Ненецкий АО, г Новый Уренгой, Ленинградский пр-кт, д 9;8904042182.0;Дворцы культуры и клубы;89
5077;Дворец культуры «Химволокно»;Тверская обл, г Тверь, пл Гагарина, д 1;6903008932.0;Дворцы культуры и клубы;69
5106;МБУК «Сафоновский городской культурный центр»;Смоленская обл, Сафоновский р-н, г Сафоново, ул Ленина, д 4А;6726019073.0;Дворцы культуры и клубы;67
5125;ГОАУК «Мурманский областной Дворец культуры и народного творчества им. С. М. Кирова»;Мурманская обл, г Мурманск, ул Пушкинская, д 3;5191501188.0;Дворцы культуры и клубы;51
5156;Государственное краевое бюджетное учреждение культуры «Пермский дом народного творчества»;Пермский край, г Пермь, ул Советской Армии, д 4;5905015789.0;Дворцы культуры и клубы;59
5162;МБУ «Межпоселенческая центральная библиотека Спасского муниципального района»;Респ Татарстан, Спасский р-н, г Болгар, ул Хирурга Шеронова, д 19;1637006482.0;Библиотеки;16
5166;ГУК «Областная универсальная научная библиотека»;Саратовская обл, г Саратов, ул им Горького А.М., д 40;6450017975.0;Библиотеки;64
5173;МБУК «Чистопольская межпоселенческая центральная библиотека Чистопольского муниципального района»;Респ Татарстан, Чистопольский р-н, г Чистополь, ул Ленина, д 55;1652013614.0;Библиотеки;16
5182;МБУ «Межпоселенческая центральная библиотека Нурлатского муниципального района»;Респ Татарстан, Нурлатский р-н, г Нурлат, ул К.Маркса, д 22;1632011714.0;Библиотеки;16
5184;МБУ «ЦБС г. Нижнекамска»;Респ Татарстан, Нижнекамский р-н, г Нижнекамск, ул Тукая, д 31;1651054840.0;Библиотеки;16
5199;ГБУК «Брянская областная научная универсальная библиотека им. Ф.И. Тютчева»;Брянская обл, г Брянск, пл Карла Маркса, д 5;3201004699.0;Библиотеки;32
5215;ГБУК города Москвы «Театр Музыки и Поэзии п/р Е.Камбуровой»;г Москва, ул Пироговская Б., д 53/55;7702078561.0;Театры;77
5216;ГБУК «Курганская областная универсальная научная библиотека им. А. К. Югова»;Курганская обл, г Курган, ул Комсомольская, д 30;4501022958.0;Библиотеки;45
5218;ГБУК «Курганская областная детско-юношеская библиотека им. В.Ф. Потанина»;Курганская обл, г Курган, ул Куйбышева, д 43;4501008858.0;Библиотеки;45
5233;ГБУ «Музей-заповедник «Казанский Кремль»;Респ Татарстан, г Казань, тер Кремль;1654004781.0;Музеи и галереи;16
5234;Центр театра и кино под руководством Никиты Михалкова;г Москва, ул Поварская, д 33 стр1;7704060947.0;Театры;77
